"teta [deg]","enerji/50 []"
-180,0.249188593476888
-179,0.249209122244021
-178,0.248849530195398
-177,0.247949762325836
-176,0.246112840539844
-175,0.245095581181966
-174,0.243763098827705
-173,0.241764036822819
-172,0.239606184986868
-171,0.237759117344529
-170,0.235962007402649
-169,0.234322506596656
-168,0.231970932273113
-167,0.229644633210427
-166,0.226961799972001
-165,0.224898519909085
-164,0.223185190597861
-163,0.221005938249091
-162,0.218477030719606
-161,0.215866143454449
-160,0.213599828126194
-159,0.212081858284184
-158,0.209635753938163
-157,0.207163860639892
-156,0.204697450741288
-155,0.202234616532498
-154,0.200503668385792
-153,0.198059851358606
-152,0.195358778712851
-151,0.1927930940435
-150,0.191351225096163
-149,0.188847957366454
-148,0.186649227534744
-147,0.18368806316247
-146,0.181496359420955
-145,0.180156153317767
-144,0.17730045548021
-143,0.174933620150295
-142,0.172065454037676
-141,0.170113257632493
-140,0.167818735770292
-139,0.165589997971899
-138,0.163264329770748
-137,0.160242709630032
-136,0.158290136881916
-135,0.156142273220051
-134,0.154031395364403
-133,0.151165030805498
-132,0.149485567247998
-131,0.147324095502766
-130,0.144411741771469
-129,0.142207872883636
-128,0.139360892660111
-127,0.137645172682943
-126,0.135502246223787
-125,0.132376823568392
-124,0.130423091803755
-123,0.127588990668938
-122,0.125109080919857
-121,0.122486962047483
-120,0.120412854097538
-119,0.118456103672242
-118,0.115935900252541
-117,0.114428042803794
-116,0.111950415073314
-115,0.108696292352529
-114,0.106711343450935
-113,0.104046748734869
-112,0.102499332868923
-111,0.100090882310108
-110,0.097561714083274
-109,0.0952476957671775
-108,0.0927852176993264
-107,0.0902712227208929
-106,0.0883776717007689
-105,0.085986092555263
-104,0.0833187509302201
-103,0.0814379002495198
-102,0.0800112534005954
-101,0.0782962926084551
-100,0.0778121641020484
-99,0.0765198777737035
-98,0.0758896521752184
-97,0.0756216333159647
-96,0.0751091582492811
-95,0.0745607137103294
-94,0.0746543629199668
-93,0.0746461143651825
-92,0.0744924919530502
-91,0.0739071988021261
-90,0.0739785735316019
-89,0.0738889470758866
-88,0.0745176899877561
-87,0.0743941178580037
-86,0.0744084352682591
-85,0.0746530645574589
-84,0.0749726623648229
-83,0.07545666567402
-82,0.0758904570956799
-81,0.0767230603261427
-80,0.0777931077973794
-79,0.0782265466430299
-78,0.080245449238452
-77,0.0812059078527346
-76,0.083155559661922
-75,0.0852788138925125
-74,0.0882420042208386
-73,0.0904217968088358
-72,0.0928659812642961
-71,0.0952177424406849
-70,0.0969449840935914
-69,0.0999729341061197
-68,0.102439650403181
-67,0.104135924779015
-66,0.106795898687104
-65,0.10853475425417
-64,0.112089492228701
-63,0.113591944952226
-62,0.115871574895928
-61,0.119196783089391
-60,0.120530970100547
-59,0.123111158445286
-58,0.124945780255721
-57,0.127593122756281
-56,0.130510372136685
-55,0.132481861165947
-54,0.135557174114013
-53,0.137743481468228
-52,0.139527406423313
-51,0.1419846298082
-50,0.144371104911274
-49,0.147397182956724
-48,0.149509410939073
-47,0.151366399142239
-46,0.154015702429872
-45,0.156539903412613
-44,0.158999510555257
-43,0.160252350345795
-42,0.163194831366982
-41,0.165490278332451
-40,0.167781612974289
-39,0.170189478713346
-38,0.17199212569609
-37,0.174891067806808
-36,0.177341512553518
-35,0.1793468134589
-34,0.181379897545798
-33,0.183427443468758
-32,0.186470102483501
-31,0.188907988206851
-30,0.191517369677677
-29,0.192786777299793
-28,0.195040349337103
-27,0.198321520704832
-26,0.200662460901557
-25,0.202393954802008
-24,0.204691933691761
-23,0.207293789410717
-22,0.209589755371119
-21,0.212267122194955
-20,0.213482111107918
-19,0.21580580427581
-18,0.21846670508747
-17,0.221010332456732
-16,0.223302590791227
-15,0.224868935480091
-14,0.227265662069242
-13,0.229446372766944
-12,0.232044159328952
-11,0.234267449121331
-10,0.235649464325225
-9,0.237771150348411
-8,0.239768376418737
-7,0.241914989823376
-6,0.243561304897767
-5,0.245368246951407
-4,0.246808940192202
-3,0.247979945821941
-2,0.24886932856537
-1,0.24952016276721
0,0.249188593476888
1,0.249209122244021
2,0.248849530195398
3,0.247949762325836
4,0.246112840539844
5,0.245110639548276
6,0.243763098827705
7,0.241764500650618
8,0.239521126957043
9,0.23779989221231
10,0.235962007402649
11,0.234322506596656
12,0.231970932273109
13,0.229644633210427
14,0.226961799972001
15,0.224898519909085
16,0.223185190597861
17,0.221005938249091
18,0.218477030719606
19,0.215866143454449
20,0.213599828126194
21,0.212081858284184
22,0.209635753938163
23,0.207163860639892
24,0.204697450741288
25,0.202234616532498
26,0.200503668385792
27,0.198059851358606
28,0.195358778712851
29,0.1927930940435
30,0.191351225096163
31,0.188847957366454
32,0.186649227534744
33,0.18368806316247
34,0.181496359420955
35,0.180156153317767
36,0.17730045548021
37,0.174933620150295
38,0.172065454037676
39,0.170113257632493
40,0.167818735770292
41,0.165589997971899
42,0.163264329770748
43,0.160242709630032
44,0.158290136881916
45,0.156142273220051
46,0.154031395364403
47,0.151165030805498
48,0.149487869259521
49,0.147327603730498
50,0.144411741771469
51,0.14222015600646
52,0.139360892660111
53,0.137645172682943
54,0.135502246223787
55,0.132376823568392
56,0.130423091803755
57,0.127588990668938
58,0.125109080919857
59,0.122486962047483
60,0.120412854097538
61,0.118456103672242
62,0.115935900252541
63,0.114428042803794
64,0.111950415073314
65,0.108696292352529
66,0.106711343450935
67,0.104046748734869
68,0.102499332868923
69,0.100090882310108
70,0.097561714083274
71,0.0952476957671775
72,0.0927852176993264
73,0.0902712227208929
74,0.0883776717007689
75,0.085986092555263
76,0.0833187509302201
77,0.0814379002495198
78,0.0800112534005954
79,0.0788364320940855
80,0.0778121641020484
81,0.0765198777737035
82,0.0758900580317461
83,0.0756182266402306
84,0.075109163272033
85,0.0745598249807227
86,0.0746543629199668
87,0.0746461143651825
88,0.0744924919530502
89,0.0739071988021261
90,0.0739785735316019
91,0.0738889470758866
92,0.0745176899877561
93,0.0743941178580037
94,0.0744084352682591
95,0.0746530645574589
96,0.0749726623648229
97,0.07545666567402
98,0.0758904570956799
99,0.0767230603261427
100,0.0777942296297033
101,0.0790436783171962
102,0.080245449238452
103,0.0812059078527346
104,0.083155559661922
105,0.0852788138925125
106,0.0882408991663451
107,0.0904217968088358
108,0.0928659812642961
109,0.0952177424406849
110,0.0969449840935914
111,0.0999729341061197
112,0.102439650403181
113,0.104135924779015
114,0.106795898687104
115,0.10853475425417
116,0.112085822666441
117,0.113591944952226
118,0.115871574895928
119,0.119196783089391
120,0.120530970100547
121,0.123111158445286
122,0.124945780255721
123,0.127593122756281
124,0.130510372136685
125,0.132481861165947
126,0.135557174114013
127,0.137743481468228
128,0.139527406423313
129,0.1419846298082
130,0.144371104911274
131,0.147397182956724
132,0.149509410939073
133,0.151366399142239
134,0.154015702429872
135,0.156539903412613
136,0.159155811926804
137,0.160252350345795
138,0.163194831366982
139,0.165510572423914
140,0.167704011504484
141,0.170189478713346
142,0.171946627284369
143,0.174891067806808
144,0.17734124839681
145,0.179543517081452
146,0.181469549720671
147,0.183427443468758
148,0.186470102483501
149,0.188907988206851
150,0.191517369677677
151,0.192786777299793
152,0.195040349337103
153,0.198321156147701
154,0.200661317702266
155,0.202531143267648
156,0.204691933691761
157,0.207293789410717
158,0.209589755371119
159,0.212267122194955
160,0.213482111107918
161,0.21580580427581
162,0.21846670508747
163,0.221010332456732
164,0.223302590791227
165,0.224868935480091
166,0.227265662069242
167,0.229446372766944
168,0.232044159328952
169,0.234267449121331
170,0.235649464325225
171,0.237771150348411
172,0.239768376418737
173,0.241914989823376
174,0.243561304897767
175,0.245522520403003
176,0.246808940192202
177,0.247979945821941
178,0.24886932856537
179,0.24952016276721
180,0.249188593476888
