"teta [deg]","Matrix1.L(Current1,Current1)/50 []"
-180,27.7062594487129
-179,27.6799374661967
-178,27.631922825565
-177,27.5332836775648
-176,27.3894208834797
-175,27.2686450308771
-174,27.0901827683055
-173,26.9221774230408
-172,26.7011822551209
-171,26.475701922743
-170,26.2493924703644
-169,26.0359435276541
-168,25.8264941870409
-167,25.5702539787882
-166,25.2965251551571
-165,25.046689520157
-164,24.8294217785481
-163,24.6023283693358
-162,24.3231466920241
-161,24.0414154182481
-160,23.80345560832
-159,23.5940794366889
-158,23.325397293029
-157,23.0671536060506
-156,22.785984973808
-155,22.5208762801035
-154,22.3182117704776
-153,22.038517738149
-152,21.7657031953019
-151,21.5093768526447
-150,21.2739409172238
-149,21.0345617654785
-148,20.7531070753963
-147,20.4759888426674
-146,20.2235208176369
-145,20.0232225800798
-144,19.7405045234242
-143,19.4623458096264
-142,19.1560563634012
-141,18.8450138279344
-140,18.6679758882212
-139,18.4398288417531
-138,18.1663231213837
-137,17.847498119925
-136,17.5397985245765
-135,17.3729568813155
-134,17.1492546665495
-133,16.8731474625257
-132,16.6423395569199
-131,16.378942466167
-130,16.0796751354547
-129,15.8288186548769
-128,15.5591395412494
-127,15.3299463930143
-126,15.0777475820074
-125,14.778918171839
-124,14.515419403463
-123,14.2301744644891
-122,13.9316784306066
-121,13.6650013519037
-120,13.445910403769
-119,13.1920543226529
-118,12.9080728329307
-117,12.7313855226899
-116,12.4425768519874
-115,12.1359196405084
-114,11.8584909759307
-113,11.5898824411588
-112,11.3753595989759
-111,11.1297842731774
-110,10.8758507123667
-109,10.5900598160458
-108,10.3378382858242
-107,10.0569802446501
-106,9.80756674097131
-105,9.57123911844825
-104,9.28367658757171
-103,9.11298422169152
-102,8.94364708801336
-101,8.74928874513309
-100,8.68808524295526
-99,8.57010591795018
-98,8.48933132063472
-97,8.42248453740791
-96,8.38025783905306
-95,8.33098232163939
-94,8.31034552974577
-93,8.28342337506816
-92,8.26025375508229
-91,8.25408867682015
-90,8.25304592573819
-89,8.24845761745824
-88,8.26533173010242
-87,8.27474797824004
-86,8.30376594597946
-85,8.33224334192359
-84,8.36959992489116
-83,8.41171528600406
-82,8.48958045099918
-81,8.58154875835405
-80,8.68611880892337
-79,8.74680824889249
-78,8.9586243599031
-77,9.10084804518414
-76,9.28013730816657
-75,9.51861798261715
-74,9.81384704593371
-73,10.0676686838239
-72,10.3512837891355
-71,10.5974747790997
-70,10.817806155552
-69,11.1237722062239
-68,11.3832798199999
-67,11.5889012032892
-66,11.877757696522
-65,12.1377111710855
-64,12.4316015140898
-63,12.6738211567877
-62,12.9136169003536
-61,13.2556101580665
-60,13.4495896359941
-59,13.7166474734259
-58,13.9560427167016
-57,14.2253917871207
-56,14.5209028443665
-55,14.7770717115686
-54,15.084185820058
-53,15.3350424962361
-52,15.5508403669245
-51,15.8103284430104
-50,16.0737404969004
-49,16.3784389061382
-48,16.6383866218296
-47,16.862763270918
-46,17.1464105850468
-45,17.3921345165098
-44,17.6731865787543
-43,17.8865132687346
-42,18.1620384099018
-41,18.4346493359108
-40,18.669743252672
-39,18.8456407357135
-38,19.1821216490691
-37,19.4558825305246
-36,19.7403301835328
-35,19.9612541658992
-34,20.2249411275016
-33,20.4576082514929
-32,20.7548284708755
-31,21.03374231846
-30,21.2830192456351
-29,21.5075740185778
-28,21.7433057732544
-27,22.0517411265986
-26,22.3229823062971
-25,22.5400235245101
-24,22.7838246849212
-23,23.0583659328002
-22,23.3206740513992
-21,23.5948269901964
-20,23.7874919459465
-19,24.0355199235437
-18,24.3207886069564
-17,24.6063173108539
-16,24.8362323823811
-15,25.0435167232874
-14,25.2986653974621
-13,25.5640912116504
-12,25.8300758310643
-11,26.0390468998879
-10,26.2372513254036
-9,26.4664806682044
-8,26.7022775011016
-7,26.9265703671959
-6,27.0921666480195
-5,27.2758318323021
-4,27.3521095300741
-3,27.536938772009
-2,27.6387448912588
-1,27.6680563564565
0,27.7062594487165
1,27.679937466194
2,27.6319228255638
3,27.5332836775648
4,27.3894208834803
5,27.2189641326574
6,27.0901827682994
7,26.9221775148156
8,26.6946812220289
9,26.4704873263176
10,26.2493924703634
11,26.0359435276504
12,25.82649418704
13,25.5702539787891
14,25.2965251551575
15,25.0466895201619
16,24.8294217785493
17,24.6023283693354
18,24.3231466920271
19,24.0414154182482
20,23.8034556083205
21,23.5940794366829
22,23.3253972930302
23,23.0671536060544
24,22.785984973805
25,22.5208762801035
26,22.3182117704817
27,22.0385177381488
28,21.7657031952955
29,21.509376852644
30,21.2739409172271
31,21.0345617654768
32,20.7531070753899
33,20.4759888426663
34,20.2235208176376
35,20.0232225800774
36,19.7405045234244
37,19.4623458096268
38,19.1560563633995
39,18.8450138279341
40,18.6679758882231
41,18.4398288417529
42,18.1663231213846
43,17.8474981199251
44,17.5397985245765
45,17.3729568813153
46,17.1492546665495
47,16.8731474625256
48,16.6423236299231
49,16.3804469424036
50,16.0796751354549
51,15.8286153823607
52,15.5591395412506
53,15.3299463930136
54,15.0777475820071
55,14.7789181718396
56,14.5154194034609
57,14.2301744644891
58,13.9316784306066
59,13.6650013519036
60,13.4459104037685
61,13.1920543226544
62,12.9080728329327
63,12.7313855226912
64,12.4425768519873
65,12.1359196405075
66,11.8584909759299
67,11.589882441159
68,11.3753595989759
69,11.1297842731775
70,10.8758507123678
71,10.5900598160461
72,10.3378382858246
73,10.0569802446501
74,9.80756674097131
75,9.57123911844889
76,9.28367658757169
77,9.11298422169151
78,8.94364708801363
79,8.80813280375524
80,8.68808524295537
81,8.57010591795016
82,8.4893700444479
83,8.42237467104908
84,8.38025771376391
85,8.33087368176476
86,8.31034552974574
87,8.28342337506816
88,8.26025375508215
89,8.25408867682025
90,8.25304592573819
91,8.24845761745828
92,8.26533173010235
93,8.27474797824004
94,8.30376594597942
95,8.33224334192359
96,8.36959992489116
97,8.41171528600404
98,8.48958045099918
99,8.58154875835411
100,8.68808950032971
101,8.81834582146281
102,8.9586243599032
103,9.10084804518416
104,9.2801373081661
105,9.51861798261716
106,9.81374095479824
107,10.0676686838243
108,10.3512837891355
109,10.5974747790986
110,10.817806155552
111,11.1237722062237
112,11.3832798200005
113,11.5889012032893
114,11.877757696522
115,12.137711171086
116,12.4323399225412
117,12.673821156788
118,12.9136169003536
119,13.255610158068
120,13.4495896359939
121,13.7166474734276
122,13.9560427167027
123,14.2253917871195
124,14.5209028443664
125,14.7770717115686
126,15.0841858200585
127,15.3350424962379
128,15.5508403669259
129,15.810328443013
130,16.0737404969015
131,16.3784389061376
132,16.6383866218301
133,16.8627632709233
134,17.1464105850429
135,17.3921345165115
136,17.6738713128992
137,17.8865132687341
138,18.1620384099015
139,18.4391418858204
140,18.6694186028702
141,18.8456407357122
142,19.1557642859279
143,19.4558825305245
144,19.7403277498308
145,19.9625839070664
146,20.230525710014
147,20.4576082514889
148,20.7548284708761
149,21.0337423184594
150,21.2830192456404
151,21.5075740185779
152,21.7433057732525
153,22.0517291641127
154,22.3231440068807
155,22.5401101843609
156,22.7838246849212
157,23.0583659327992
158,23.3206740513992
159,23.5948269901943
160,23.7874919459469
161,24.0355199235456
162,24.320788606963
163,24.6063173108531
164,24.8362323823715
165,25.0435167232892
166,25.2986653974617
167,25.5640912116402
168,25.8300758310641
169,26.0390468998876
170,26.2372513254034
171,26.4664806682044
172,26.7022775010996
173,26.926570367192
174,27.0921666480133
175,27.2810445768629
176,27.3521095300791
177,27.5369387720133
178,27.6387448912532
179,27.6680563564588
180,27.7062594487122
